# A,B,C,D,E,F
3.148628546623771399e+03,2.090610214240422465e+03,2.090610214240422465e+03,2.473590915166926607e+03,1.843772691958879022e+03,2.775053981337245204e+03
2.775053981337245204e+03,2.774599523122894425e+03,2.730932450044600046e+03,3.250427873629127134e+03,1.843772691958879022e+03,2.893044035846595762e+03
1.473640151406104906e+03,2.474457216646895176e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
2.342185476692411612e+03,2.332537111502635526e+03,2.575390242172281432e+03,2.774599523122894425e+03,3.037112427329729144e+03,2.090610214240422465e+03
2.090610214240422465e+03,1.949556410576131611e+03,1.949556410576131611e+03,1.843772691958879022e+03,2.575094422648275213e+03,2.090610214240422465e+03
4.002301460735528963e+03,2.473590915166926607e+03,3.524763241514790025e+03,3.552793073018177893e+03,2.810859317732637464e+03,3.749193488703390358e+03
3.236315801899812868e+03,2.876853308342600030e+03,1.949556410576131611e+03,2.332537111502635526e+03,2.629369010635785799e+03,2.090610214240422465e+03
2.473590915166926607e+03,2.090610214240422465e+03,1.949556410576131611e+03,3.086445627204090670e+03,2.230737784497279790e+03,2.230737784497279790e+03
2.630767019236302531e+03,1.843772691958879022e+03,1.843772691958879022e+03,2.332537111502635526e+03,1.843772691958879022e+03,2.774599523122894425e+03
2.090610214240422465e+03,2.332537111502635526e+03,2.774599523122894425e+03,2.775053981337245204e+03,2.528967692230947250e+03,3.391573763324318861e+03
2.090610214240422465e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.473640151406104906e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
2.332537111502635526e+03,1.843772691958879022e+03,1.949556410576131611e+03,3.245106360781066542e+03,2.332537111502635526e+03,3.052335945515568710e+03
2.090610214240422465e+03,2.090610214240422465e+03,2.332537111502635526e+03,2.230737784497279790e+03,2.230737784497279790e+03,1.949556410576131611e+03
1.949556410576131611e+03,1.843772691958879022e+03,2.090610214240422465e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03
2.730932450044600046e+03,2.994843362851951497e+03,2.090610214240422465e+03,3.304451410259551267e+03,2.474457216646895176e+03,3.143307033775710806e+03
1.473640151406104906e+03,1.843772691958879022e+03,2.090610214240422465e+03,2.090610214240422465e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.843772691958879022e+03,2.774843905890881615e+03,2.090610214240422465e+03,2.934826161370746377e+03,2.686600843305591297e+03,2.584111170489343749e+03
1.949556410576131611e+03,2.384208954936921600e+03,1.473640151406104906e+03,1.473640151406104906e+03,2.342185476692411612e+03,2.473590915166926607e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,2.474457216646895176e+03,1.843772691958879022e+03,1.473640151406104906e+03
2.474457216646895176e+03,1.473640151406104906e+03,1.473640151406104906e+03,2.882655091555188847e+03,2.474457216646895176e+03,2.893044035846595762e+03
1.949556410576131611e+03,2.629369010635785799e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.843772691958879022e+03,2.474457216646895176e+03
2.629369010635785799e+03,2.584111170489343749e+03,1.843772691958879022e+03,2.090610214240422465e+03,1.473640151406104906e+03,1.843772691958879022e+03
2.090610214240422465e+03,2.886105943780209600e+03,2.090610214240422465e+03,2.575390242172281432e+03,2.575390242172281432e+03,2.090610214240422465e+03
1.843772691958879022e+03,2.775053981337245204e+03,2.474457216646895176e+03,1.949556410576131611e+03,1.473640151406104906e+03,2.775053981337245204e+03
2.384208954936921600e+03,2.888648756405968925e+03,1.949556410576131611e+03,2.774843905890881615e+03,2.882655091555188847e+03,2.999238642292578334e+03
2.888648756405968925e+03,2.332537111502635526e+03,2.716444045836572514e+03,2.984646300198735844e+03,3.165704531624478477e+03,2.888648756405968925e+03
1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.843772691958879022e+03
1.843772691958879022e+03,2.090610214240422465e+03,2.090610214240422465e+03,1.473640151406104906e+03,2.090610214240422465e+03,1.949556410576131611e+03
3.784010669023686205e+03,3.002246561522320917e+03,4.866630968363921056e+03,4.345145620032003535e+03,4.255279036544550763e+03,4.079136654176517368e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
2.994843362851951497e+03,1.843772691958879022e+03,1.843772691958879022e+03,3.715075311843423151e+03,1.843772691958879022e+03,3.842665372691278208e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.843772691958879022e+03,2.090610214240422465e+03,2.090610214240422465e+03,1.473640151406104906e+03,2.876853308342600030e+03,1.843772691958879022e+03
2.230737784497279790e+03,2.090610214240422465e+03,2.230737784497279790e+03,3.304451410259551267e+03,2.775053981337245204e+03,4.225057512474518262e+03
3.560128007067627550e+03,3.143307033775710806e+03,3.202652083254196441e+03,3.423813661219241112e+03,3.447449766769610505e+03,3.361689911518455119e+03
1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.843772691958879022e+03
1.473640151406104906e+03,1.473640151406104906e+03,2.090610214240422465e+03,1.473640151406104906e+03,1.949556410576131611e+03,1.843772691958879022e+03
2.575094422648275213e+03,1.473640151406104906e+03,2.342185476692411612e+03,2.090610214240422465e+03,2.090610214240422465e+03,2.090610214240422465e+03
1.949556410576131611e+03,2.629369010635785799e+03,2.774843905890881615e+03,2.629369010635785799e+03,2.342185476692411612e+03,2.730932450044600046e+03
2.090610214240422465e+03,2.730932450044600046e+03,2.090610214240422465e+03,2.774843905890881615e+03,1.949556410576131611e+03,1.949556410576131611e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,2.474457216646895176e+03,1.843772691958879022e+03,1.473640151406104906e+03
2.090610214240422465e+03,1.473640151406104906e+03,1.949556410576131611e+03,2.629369010635785799e+03,1.473640151406104906e+03,2.777386718516640940e+03
